flight_id,date_key,airline_key,origin_key,dest_key,op_carrier_fl_num,crs_dep_time,dep_time,dep_delay,crs_arr_time,arr_time,arr_delay,taxi_out,taxi_in,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,cancelled,diverted,cancellation_code
8287,20240201,5,266,142,544.0,735,729.0,-6.0,1542,1552.0,10.0,22.0,3.0,307.0,323.0,298.0,2306.0,0,0,0,0,0,0,0,
8288,20240919,2,64,58,425.0,2300,2400.0,60.0,15,45.0,30.0,13.0,4.0,75.0,45.0,28.0,168.0,0,0,0,0,30,0,0,
8289,20240413,13,268,142,372.0,1648,1658.0,10.0,105,57.0,-8.0,21.0,6.0,317.0,299.0,272.0,2419.0,0,0,0,0,0,0,0,
8290,20240412,4,221,155,1154.0,2115,2120.0,5.0,2357,2356.0,-1.0,19.0,6.0,162.0,156.0,131.0,1028.0,0,0,0,0,0,0,0,
8291,20240930,5,65,18,2909.0,705,700.0,-5.0,840,829.0,-11.0,14.0,9.0,95.0,89.0,66.0,447.0,0,0,0,0,0,0,0,
8292,20240620,4,266,40,398.0,1130,1247.0,77.0,1958,2351.0,,17.0,22.0,328.0,,,2496.0,0,0,0,0,0,0,1,
8293,20240531,14,58,82,1152.0,1350,1418.0,28.0,1550,1545.0,-5.0,9.0,5.0,240.0,207.0,193.0,1449.0,0,0,0,0,0,0,0,
8294,20240118,7,267,246,1224.0,805,749.0,-16.0,959,936.0,-23.0,13.0,6.0,114.0,107.0,88.0,643.0,0,0,0,0,0,0,0,
8295,20241002,5,79,165,392.0,1710,1704.0,-6.0,1946,1919.0,-27.0,24.0,8.0,336.0,315.0,283.0,2311.0,0,0,0,0,0,0,0,
8296,20241020,5,90,256,369.0,1650,1640.0,-10.0,1839,1817.0,-22.0,21.0,6.0,289.0,277.0,250.0,1956.0,0,0,0,0,0,0,0,
8297,20240303,2,194,79,1627.0,810,810.0,0.0,1043,1031.0,-12.0,12.0,4.0,153.0,141.0,125.0,919.0,0,0,0,0,0,0,0,
8298,20240514,9,231,194,3768.0,1020,1019.0,-1.0,1302,1308.0,6.0,14.0,4.0,102.0,109.0,91.0,530.0,0,0,0,0,0,0,0,
8299,20241108,5,221,174,2460.0,1859,1857.0,-2.0,2146,2139.0,-7.0,12.0,7.0,167.0,162.0,143.0,1035.0,0,0,0,0,0,0,0,
8300,20241106,12,165,95,4964.0,1427,1432.0,5.0,1721,1728.0,7.0,21.0,3.0,114.0,116.0,92.0,715.0,0,0,0,0,0,0,0,
8301,20240929,4,40,154,309.0,1920,1923.0,3.0,2212,2211.0,-1.0,19.0,5.0,172.0,168.0,144.0,1010.0,0,0,0,0,0,0,0,
8302,20240621,14,279,163,2930.0,1825,1849.0,24.0,1935,2000.0,25.0,17.0,8.0,70.0,71.0,46.0,226.0,11,0,1,0,13,0,0,
8303,20240711,5,165,276,2906.0,540,619.0,39.0,844,921.0,37.0,27.0,8.0,124.0,122.0,87.0,590.0,37,0,0,0,0,0,0,
8304,20240120,2,28,225,1860.0,1311,1359.0,48.0,1540,1625.0,45.0,16.0,5.0,89.0,86.0,65.0,425.0,40,0,0,0,5,0,0,
8305,20241227,12,165,102,5299.0,1030,1021.0,-9.0,1150,1151.0,1.0,33.0,9.0,80.0,90.0,48.0,209.0,0,0,0,0,0,0,0,
8306,20240204,10,195,184,2910.0,645,642.0,-3.0,1039,1035.0,-4.0,12.0,11.0,174.0,173.0,150.0,1066.0,0,0,0,0,0,0,0,
8307,20240423,12,82,134,4705.0,1909,1859.0,-10.0,2111,2050.0,-21.0,10.0,5.0,122.0,111.0,96.0,594.0,0,0,0,0,0,0,0,
8308,20240110,13,225,216,2629.0,1205,1203.0,-2.0,1634,1620.0,-14.0,15.0,18.0,209.0,197.0,164.0,1440.0,0,0,0,0,0,0,0,
8309,20240102,3,100,16,90.0,530,514.0,-16.0,638,622.0,-16.0,19.0,6.0,68.0,68.0,43.0,261.0,0,0,0,0,0,0,0,
8310,20240501,10,184,251,2079.0,551,551.0,0.0,834,833.0,-1.0,11.0,7.0,163.0,162.0,144.0,1033.0,0,0,0,0,0,0,0,
8311,20240411,5,18,276,387.0,1000,1004.0,4.0,1214,1220.0,6.0,31.0,6.0,254.0,256.0,219.0,1590.0,0,0,0,0,0,0,0,
8312,20240326,14,18,221,3068.0,1030,1040.0,10.0,1220,1216.0,-4.0,9.0,4.0,110.0,96.0,83.0,545.0,0,0,0,0,0,0,0,
8313,20240101,5,18,62,2871.0,1755,1751.0,-4.0,1945,1936.0,-9.0,16.0,6.0,110.0,105.0,83.0,554.0,0,0,0,0,0,0,0,
8314,20240511,5,302,18,2704.0,530,526.0,-4.0,630,610.0,-20.0,11.0,3.0,60.0,44.0,30.0,152.0,0,0,0,0,0,0,0,
8315,20240710,2,225,28,624.0,2040,2033.0,-7.0,2207,2149.0,-18.0,11.0,5.0,87.0,76.0,60.0,425.0,0,0,0,0,0,0,0,
8316,20240322,13,224,143,1434.0,1737,1828.0,51.0,2036,2051.0,15.0,10.0,5.0,239.0,203.0,188.0,1325.0,6,0,0,0,9,0,0,
8317,20240508,5,18,275,1946.0,1300,1258.0,-2.0,1623,1612.0,-11.0,14.0,4.0,203.0,194.0,176.0,1547.0,0,0,0,0,0,0,0,
8318,20240210,5,266,163,2291.0,1745,1742.0,-3.0,2008,1958.0,-10.0,15.0,7.0,143.0,136.0,114.0,867.0,0,0,0,0,0,0,0,
8319,20240428,10,98,184,58.0,500,454.0,-6.0,755,734.0,-21.0,14.0,16.0,175.0,160.0,130.0,937.0,0,0,0,0,0,0,0,
8320,20240422,12,216,124,5337.0,1800,1753.0,-7.0,2101,2038.0,-23.0,24.0,3.0,121.0,105.0,78.0,577.0,0,0,0,0,0,0,0,
8321,20240909,4,79,221,1733.0,1345,1335.0,-10.0,1615,1622.0,7.0,14.0,2.0,150.0,167.0,151.0,857.0,0,0,0,0,0,0,0,
8322,20241017,5,205,18,1032.0,1952,1951.0,-1.0,2317,2332.0,15.0,26.0,12.0,145.0,161.0,123.0,907.0,0,0,15,0,0,0,0,
8323,20241122,5,205,282,1699.0,920,914.0,-6.0,1341,1314.0,-27.0,16.0,5.0,201.0,180.0,159.0,1342.0,0,0,0,0,0,0,0,
8324,20240115,14,293,149,3708.0,1720,1728.0,8.0,1955,1945.0,-10.0,10.0,4.0,155.0,137.0,123.0,1034.0,0,0,0,0,0,0,0,
8325,20241221,2,249,83,1361.0,600,557.0,-3.0,1131,1126.0,-5.0,25.0,16.0,211.0,209.0,168.0,1345.0,0,0,0,0,0,0,0,
8326,20240510,12,82,85,4744.0,2041,2033.0,-8.0,2226,2218.0,-8.0,25.0,7.0,105.0,105.0,73.0,488.0,0,0,0,0,0,0,0,
8327,20240311,11,12,79,5042.0,617,610.0,-7.0,759,755.0,-4.0,19.0,14.0,102.0,105.0,72.0,468.0,0,0,0,0,0,0,0,
8328,20241129,14,50,225,4872.0,1810,1804.0,-6.0,2040,2022.0,-18.0,11.0,6.0,90.0,78.0,61.0,369.0,0,0,0,0,0,0,0,
